                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.736,                0.19798,                0.35007,                 4.6833,             0.00023777,             0.00023777,             0.00023777
                      2,                 1.9665,                0.24411,                0.38731,                 4.6133,             0.00045222,             0.00045222,             0.00045222
                      3,                 1.6398,                0.26045,                0.40197,                  4.589,             0.00064311,             0.00064311,             0.00064311
                      4,                 1.4515,                0.27078,                0.40149,                 4.5679,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.3098,                0.27415,                0.39909,                 4.5657,             0.00060797,             0.00060797,             0.00060797
                      6,                 1.1973,                 0.2703,                0.40413,                 4.5651,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.1038,                0.28111,                0.40221,                 4.5483,             0.00053728,             0.00053728,             0.00053728
                      8,                 1.0514,                0.29025,                0.40774,                 4.5446,             0.00050194,             0.00050194,             0.00050194
                      9,                0.96052,                 0.3013,                 0.4123,                 4.5321,              0.0004666,              0.0004666,              0.0004666
                     10,                0.90768,                0.29193,                0.41062,                 4.5348,             0.00043126,             0.00043126,             0.00043126
                     11,                0.85178,                0.29769,                0.41182,                 4.5315,             0.00039591,             0.00039591,             0.00039591
                     12,                0.80729,                0.29697,                 0.4099,                 4.5282,             0.00036057,             0.00036057,             0.00036057
                     13,                0.76196,                0.29793,                0.41014,                 4.5278,             0.00032523,             0.00032523,             0.00032523
                     14,                0.72343,                0.29529,                 0.4123,                  4.525,             0.00028988,             0.00028988,             0.00028988
                     15,                0.68692,                0.29986,                0.41158,                 4.5253,             0.00025454,             0.00025454,             0.00025454
                     16,                0.65001,                0.30082,                0.41014,                 4.5229,              0.0002192,              0.0002192,              0.0002192
                     17,                0.63202,                0.30202,                 0.4147,                  4.521,             0.00018385,             0.00018385,             0.00018385
                     18,                0.60397,                0.30394,                0.40894,                 4.5173,             0.00014851,             0.00014851,             0.00014851
                     19,                0.58941,                0.30178,                0.41014,                 4.5182,             0.00011317,             0.00011317,             0.00011317
                     20,                 0.5677,                0.30466,                0.41014,                 4.5196,             7.7826e-05,             7.7826e-05,             7.7826e-05
