                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8889,                0.18573,                0.34887,                 4.6977,             0.00023777,             0.00023777,             0.00023777
                      2,                 2.0772,                0.24123,                0.38371,                   4.62,             0.00045222,             0.00045222,             0.00045222
                      3,                  1.679,                0.25469,                0.39308,                 4.5974,             0.00064311,             0.00064311,             0.00064311
                      4,                  1.447,                0.28328,                0.40245,                 4.5617,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.2921,                 0.2828,                0.40581,                 4.5605,             0.00060797,             0.00060797,             0.00060797
                      6,                   1.17,                0.28664,                0.40894,                 4.5534,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.0758,                0.28856,                 0.4123,                 4.5405,             0.00053728,             0.00053728,             0.00053728
                      8,                0.99488,                0.30106,                0.41302,                 4.5326,             0.00050194,             0.00050194,             0.00050194
                      9,                0.92526,                0.30634,                0.41591,                 4.5256,              0.0004666,              0.0004666,              0.0004666
                     10,                0.86309,                 0.3001,                0.41086,                  4.527,             0.00043126,             0.00043126,             0.00043126
                     11,                 0.8054,                0.30562,                0.41086,                 4.5222,             0.00039591,             0.00039591,             0.00039591
                     12,                 0.7636,                0.30514,                0.41494,                 4.5168,             0.00036057,             0.00036057,             0.00036057
                     13,                0.71237,                0.30658,                0.41374,                 4.5205,             0.00032523,             0.00032523,             0.00032523
                     14,                0.68471,                0.30827,                0.41639,                 4.5135,             0.00028988,             0.00028988,             0.00028988
                     15,                0.64087,                0.31235,                0.41519,                 4.5163,             0.00025454,             0.00025454,             0.00025454
                     16,                0.61342,                 0.3174,                0.41278,                 4.5097,              0.0002192,              0.0002192,              0.0002192
                     17,                0.58099,                0.31643,                0.41687,                 4.5089,             0.00018385,             0.00018385,             0.00018385
                     18,                0.55727,                0.32028,                0.41519,                 4.5057,             0.00014851,             0.00014851,             0.00014851
                     19,                0.54645,                0.31812,                0.41543,                 4.5075,             0.00011317,             0.00011317,             0.00011317
                     20,                0.52367,                0.31812,                0.41735,                 4.5088,             7.7826e-05,             7.7826e-05,             7.7826e-05
