                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5376,                0.05863,                0.17468,                 4.7693,             0.00023777,             0.00023777,             0.00023777
                      2,                 3.6674,                0.09539,                 0.2345,                   4.74,             0.00045222,             0.00045222,             0.00045222
                      3,                 3.3449,                0.10668,                0.25084,                 4.7283,             0.00064311,             0.00064311,             0.00064311
                      4,                  3.158,                0.12854,                0.26574,                 4.7131,             0.00060797,             0.00060797,             0.00060797
                      5,                 3.0569,                0.12662,                0.27126,                 4.7104,             0.00060797,             0.00060797,             0.00060797
                      6,                 2.9185,                0.13023,                0.27319,                 4.7045,             0.00057263,             0.00057263,             0.00057263
                      7,                 2.7947,                0.15137,                 0.2828,                 4.6926,             0.00053728,             0.00053728,             0.00053728
                      8,                 2.7289,                0.14753,                0.28856,                 4.6924,             0.00050194,             0.00050194,             0.00050194
                      9,                 2.6271,                 0.1468,                0.29481,                 4.6853,              0.0004666,              0.0004666,              0.0004666
                     10,                 2.5313,                0.14897,                0.29745,                 4.6863,             0.00043126,             0.00043126,             0.00043126
                     11,                 2.4864,                0.14921,                0.29962,                 4.6811,             0.00039591,             0.00039591,             0.00039591
                     12,                 2.4278,                0.15762,                0.29553,                 4.6781,             0.00036057,             0.00036057,             0.00036057
                     13,                 2.3624,                0.15762,                0.29457,                 4.6784,             0.00032523,             0.00032523,             0.00032523
                     14,                 2.3105,                 0.1593,                0.30418,                 4.6742,             0.00028988,             0.00028988,             0.00028988
                     15,                 2.2521,                0.15978,                0.29986,                 4.6733,             0.00025454,             0.00025454,             0.00025454
                     16,                 2.1933,                0.15449,                0.30178,                  4.675,              0.0002192,              0.0002192,              0.0002192
                     17,                 2.1606,                0.16002,                0.30226,                 4.6716,             0.00018385,             0.00018385,             0.00018385
                     18,                 2.1038,                0.16074,                0.30754,                 4.6662,             0.00014851,             0.00014851,             0.00014851
                     19,                 2.0894,                0.16146,                0.30778,                  4.669,             0.00011317,             0.00011317,             0.00011317
                     20,                 2.0512,                0.16555,                0.30658,                 4.6685,             7.7826e-05,             7.7826e-05,             7.7826e-05
